,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
43,RDP,0.21,0.8668515950069348,0.7328537133241217,0.15184224808538865
44,OS,0.22,0.8155339805825242,0.622499714590526,0.20207441355605135
45,RDP,0.22,0.8613037447988904,0.721845004783803,0.14762105770970269
46,OS,0.23,0.8169209431345353,0.62575794515269,0.2068986311282639
47,RDP,0.23,0.8599167822468793,0.7192486670085088,0.14394259181089064
48,OS,0.24,0.8349514563106796,0.6626907215278952,0.21395404932762466
49,RDP,0.24,0.8571428571428571,0.7136892346720436,0.1408671531086052
50,OS,0.25,0.8307905686546463,0.654574157268072,0.21962250497497435
51,RDP,0.25,0.8543689320388349,0.7077444534950605,0.13568111921847673
52,OS,0.26,0.8349514563106796,0.6632943383342687,0.22547186878128203
53,RDP,0.26,0.8474341192787794,0.6936252733074255,0.13152023156244344
54,OS,0.27,0.8377253814147018,0.6691012932809797,0.2321051679430742
55,RDP,0.27,0.8502080443828016,0.6987977905339543,0.12675631670988358
56,OS,0.28,0.8460471567267683,0.6862107768372104,0.23867816438521378
57,RDP,0.28,0.8363384188626907,0.670908697064876,0.11945968763191218
58,OS,0.29,0.8460471567267683,0.68663098254036,0.24531146354700595
59,RDP,0.29,0.8224687933425797,0.642546730600894,0.1133691129469939
60,OS,0.3,0.8543689320388349,0.7037021091728864,0.2514623409515769
61,RDP,0.3,0.8072122052704577,0.609673738203827,0.10420309955979014
62,OS,0.31,0.8682385575589459,0.7325176805051685,0.25815594283302173
63,RDP,0.31,0.7558945908460472,0.5034590702770386,0.09509738889223904
64,OS,0.32,0.8668515950069348,0.7295214574329235,0.26394500391967674
65,RDP,0.32,0.7087378640776699,0.40647735825388864,0.08520774286920339
66,OS,0.33,0.8682385575589459,0.7322793097383181,0.26991497316528973
67,RDP,0.33,0.6393897364771152,0.2697312037397741,0.07628294036061026
68,OS,0.34,0.8779472954230236,0.7520613359801799,0.2769100886449979
69,RDP,0.34,0.5742024965325936,0.1432381276780219,0.06832298136645962
70,OS,0.35000000000000003,0.8779472954230236,0.7520613359801799,0.28396550684435873
71,RDP,0.35000000000000003,0.49375866851595007,-0.006632725269765327,0.06078514140987757
72,OS,0.36,0.8807212205270458,0.7575883153236274,0.2892721461737924
73,RDP,0.36,0.44660194174757284,-0.09041599545153045,0.05511668576252788
74,OS,0.37,0.8821081830790569,0.7606737141362033,0.2964481698124586
75,RDP,0.37,0.43828016643550627,-0.10015786241480518,0.051860338901284435
76,OS,0.38,0.8862690707350902,0.7693771990731711,0.30356389073147194
77,RDP,0.38,0.42718446601941745,-0.11852647632212565,0.04950853283483084
78,OS,0.39,0.8876560332871013,0.7723415286380877,0.3104987034915274
79,RDP,0.39,0.42579750346740636,-0.1200357217902921,0.04854368932038834
80,OS,0.4,0.8848821081830791,0.7668239538970476,0.3178556352891515
81,RDP,0.4,0.420249653259362,-0.13182562453995095,0.04775975396490381
82,OS,0.41000000000000003,0.8945908460471568,0.786536813400857,0.3252125670867756
83,RDP,0.41000000000000003,0.42163661581137307,-0.12839326395117978,0.04709642404872458
84,OS,0.42,0.9029126213592233,0.8035636442894507,0.3336549478381475
85,RDP,0.42,0.420249653259362,-0.1308573229670098,0.04703612132907193
86,OS,0.43,0.9056865464632455,0.8091761115954664,0.34233853946813003
87,RDP,0.43,0.4174757281553398,-0.13626812355536866,0.04655369957185068
88,OS,0.44,0.9084604715672677,0.8147063633602529,0.35084122293915454
89,RDP,0.44,0.420249653259362,-0.13037379321726217,0.046312488693240055
