Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
BU,0.11,0.9223300970873787,0.0,0.241632997648194
VC,0.11,1.0,,0.3648917566182235
OS,0.12,1.0,,0.14955074473858768
RDP,0.12,0.9445214979195562,0.0,0.21576313091720437
BU,0.12,0.9140083217753121,0.0,0.23126092986793706
VC,0.12,1.0,,0.3548212024362299
OS,0.13,1.0,,0.15485738406802146
RDP,0.13,0.9278779472954231,0.0,0.20563227401555811
BU,0.13,0.9042995839112344,0.0,0.21968280769462709
VC,0.13,1.0,,0.34541397817041547
OS,0.14,0.9986130374479889,0.0,0.1601640233974552
RDP,0.14,0.8987517337031901,0.0,0.19688837966592293
BU,0.14,0.8626907073509015,0.0,0.20641620937104266
VC,0.14,1.0,,0.33522281854911656
OS,0.15,1.0,,0.1644455164927938
RDP,0.15,0.8626907073509015,0.0,0.18898872339142495
BU,0.15,0.7656033287101248,0.0,0.19194355665440507
VC,0.15,1.0,,0.3264186214798287
OS,0.16,1.0,,0.1696918531025749
RDP,0.16,0.8335644937586685,0.0,0.1821142133510221
BU,0.16,0.6823855755894591,0.0,0.18000361816317917
VC,0.16,1.0,,0.3178556352891515
OS,0.17,1.0,,0.17572212506784055
RDP,0.17,0.7891816920943134,0.0,0.1760839413857565
BU,0.17,0.6144244105409153,0.0,0.171078815654586
VC,0.17,1.0,,0.31092082252909603
OS,0.18,1.0,,0.18151118615449555
RDP,0.18,0.7794729542302358,0.0,0.1707169993366701
BU,0.18,0.5242718446601942,0.0,0.1604655369957185
VC,0.18,1.0,,0.3042272206476512
OS,0.19,1.0,,0.1871193390821926
RDP,0.19,0.782246879334258,0.0,0.16565157088584695
BU,0.19,0.4576976421636616,0.0,0.15105831272990408
VC,0.19,1.0,,0.2976542242055117
OS,0.2,1.0,,0.19302900560815292
RDP,0.2,0.811373092926491,0.0,0.15913887716336006
BU,0.2,0.42163661581137307,0.0,0.14635470059699687
VC,0.2,1.0,,0.29114153048302477
OS,0.21,1.0,,0.1974914068624495
RDP,0.21,0.8377253814147018,0.0,0.15184224808538865
BU,0.21,0.39805825242718446,0.0,0.14165108846408972
VC,0.21,1.0,,0.28366399324609537
OS,0.22,1.0,,0.20207441355605135
RDP,0.22,0.8626907073509015,0.0,0.14762105770970269
BU,0.22,0.3869625520110957,0.0,0.13948019055659408
VC,0.22,1.0,,0.2760658505698607
OS,0.23,1.0,,0.2068986311282639
RDP,0.23,0.869625520110957,0.0,0.14394259181089064
BU,0.23,0.37586685159500693,0.0,0.1375505035277091
VC,0.23,1.0,,0.2697943677259844
OS,0.24,1.0,,0.21395404932762466
RDP,0.24,0.8599167822468793,0.0,0.1408671531086052
BU,0.24,0.37170596393897365,0.0,0.13598263281674
VC,0.24,1.0,,0.26304046312488694
OS,0.25,1.0,,0.21962250497497435
RDP,0.25,0.8585298196948682,0.0,0.13568111921847673
BU,0.25,0.36754507628294036,0.0,0.13417355122716032
VC,0.25,1.0,,0.2580956401133691
OS,0.26,1.0,,0.22547186878128203
RDP,0.26,0.8432732316227461,0.0,0.13152023156244344
BU,0.26,0.3592233009708738,0.0,0.13284689139480188
VC,0.26,0.9986130374479889,0.0,0.2521256708677561
OS,0.27,1.0,,0.2321051679430742
RDP,0.27,0.8085991678224688,0.0,0.12675631670988358
