,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
90,OS,0.45,0.8838174273858921,0.7346441211167911,0.3678513440375248
91,RDP,0.45,0.7012448132780082,0.17166316593469533,0.08497203680317515
92,OS,0.46,0.8796680497925311,0.7242671716573954,0.37560887605989535
93,RDP,0.46,0.6846473029045643,0.1256444529310673,0.08154429009561606
94,OS,0.47000000000000003,0.9004149377593361,0.7710576314122862,0.38643333934692403
95,RDP,0.47000000000000003,0.6473029045643154,0.05577321963586068,0.07685368933790364
96,OS,0.48,0.9045643153526971,0.7798737143084071,0.39274760959769073
97,RDP,0.48,0.6265560165975104,0.02630633866044174,0.07378675807324551
98,OS,0.49,0.9087136929460581,0.7887481074189179,0.4023092188345661
99,RDP,0.49,0.5933609958506224,-0.02955536181342633,0.0705394190871369
100,OS,0.5,0.9004149377593361,0.7695433899115467,0.4111491971856395
101,RDP,0.5,0.5560165975103735,-0.06623940458962174,0.06602922605087495
102,OS,0.51,0.9045643153526971,0.776932673347016,0.4217932527512177
103,RDP,0.51,0.5518672199170125,-0.05804878048780471,0.06458596427927114
104,OS,0.52,0.9128630705394191,0.7963298321864059,0.4318960851524445
105,RDP,0.52,0.5145228215767634,-0.10520126994081447,0.06097780985026158
106,OS,0.53,0.9128630705394191,0.7963298321864059,0.4394732094533646
107,RDP,0.53,0.4854771784232365,-0.1380045696877381,0.057550063142702494
108,OS,0.54,0.91701244813278,0.8066741536980587,0.44795237236153707
109,RDP,0.54,0.47717842323651455,-0.12784133115436047,0.054843947320945316
110,OS,0.55,0.921161825726141,0.8169498301019389,0.4578747970413134
111,RDP,0.55,0.46473029045643155,-0.13030358116706053,0.05267905466353958
112,OS,0.56,0.9253112033195021,0.8260067383282529,0.4670755908352877
113,RDP,0.56,0.44813278008298757,-0.14462736135414067,0.05123579289193576
114,OS,0.5700000000000001,0.9253112033195021,0.8260067383282529,0.47357026880750497
115,RDP,0.5700000000000001,0.43568464730290457,-0.14665547159249925,0.04907090023453002
116,OS,0.58,0.9294605809128631,0.8351241498651858,0.481869023994227
117,RDP,0.58,0.42738589211618255,-0.1435939756550444,0.047627638462926204
118,OS,0.59,0.921161825726141,0.8144877040878338,0.4914306332311023
119,RDP,0.59,0.42738589211618255,-0.1371033916849016,0.0467255998556738
120,OS,0.6,0.9336099585062241,0.8453393229584469,0.49918816525347287
121,RDP,0.6,0.42323651452282157,-0.1421022126760083,0.046184376691322374
122,OS,0.61,0.9336099585062241,0.8453393229584469,0.510193036261952
123,RDP,0.61,0.4107883817427386,-0.1569303583502366,0.04546274580552047
124,OS,0.62,0.9294605809128631,0.8362182690385769,0.518852606891575
125,RDP,0.62,0.4066390041493776,-0.16181775275595855,0.04510193036261951
126,OS,0.63,0.9294605809128631,0.8362182690385769,0.5285946238499007
127,RDP,0.63,0.4066390041493776,-0.15535217405880175,0.044560707198268074
128,OS,0.64,0.9336099585062241,0.8453393229584469,0.5385170485296771
129,RDP,0.64,0.4024896265560166,-0.1602032629045198,0.04438029947681759
130,OS,0.65,0.9336099585062241,0.8453393229584469,0.547898250045102
131,RDP,0.65,0.4024896265560166,-0.1602032629045198,0.04419989175536712
132,OS,0.66,0.9377593360995851,0.8554867079752149,0.5605267905466353
133,RDP,0.66,0.4024896265560166,-0.1602032629045198,0.04401948403391664
134,OS,0.67,0.9336099585062241,0.8453393229584469,0.5731553310481688
135,RDP,0.67,0.4024896265560166,-0.1602032629045198,0.043839076312466155
136,OS,0.68,0.9377593360995851,0.8554867079752149,0.5866859101569546
137,RDP,0.68,0.4024896265560166,-0.1602032629045198,0.043839076312466155
138,OS,0.6900000000000001,0.9377593360995851,0.8554867079752149,0.5987732274941366
139,RDP,0.6900000000000001,0.4024896265560166,-0.1602032629045198,0.043839076312466155
140,OS,0.7000000000000001,0.941908713692946,0.8655669774484023,0.6110409525527692
141,RDP,0.7000000000000001,0.4024896265560166,-0.1602032629045198,0.043839076312466155
142,OS,0.71,0.941908713692946,0.8655669774484023,0.6227674544470503
143,RDP,0.71,0.4024896265560166,-0.1602032629045198,0.043839076312466155
144,OS,0.72,0.941908713692946,0.8655669774484023,0.6314270250766733
145,RDP,0.72,0.4024896265560166,-0.1602032629045198,0.043658668591015685
146,OS,0.73,0.941908713692946,0.8655669774484023,0.6444163810211077
147,RDP,0.73,0.4024896265560166,-0.1602032629045198,0.043658668591015685
148,OS,0.74,0.946058091286307,0.8755807950438823,0.6575861446869925
149,RDP,0.74,0.4024896265560166,-0.1602032629045198,0.043658668591015685
150,OS,0.75,0.950207468879668,0.8855288157061432,0.6687714234169222
151,RDP,0.75,0.4024896265560166,-0.1602032629045198,0.043658668591015685
152,OS,0.76,0.9543568464730291,0.8947222111909773,0.6774309940465452
153,RDP,0.76,0.4024896265560166,-0.1602032629045198,0.043658668591015685
154,OS,0.77,0.9626556016597511,0.9138636273380724,0.6898791268266281
155,RDP,0.77,0.4024896265560166,-0.1602032629045198,0.043658668591015685
156,OS,0.78,0.9585062240663901,0.904607346421786,0.7008839978351074
157,RDP,0.78,0.4024896265560166,-0.1602032629045198,0.043658668591015685
158,OS,0.79,0.9585062240663901,0.904607346421786,0.7117084611221361
159,RDP,0.79,0.4066390041493776,-0.1489581596932823,0.04347826086956521
160,OS,0.8,0.9626556016597511,0.9138636273380724,0.7227133321306152
161,RDP,0.8,0.4066390041493776,-0.1489581596932823,0.04347826086956521
162,OS,0.81,0.966804979253112,0.9231811299705156,0.7355222803535991
163,RDP,0.81,0.4066390041493776,-0.1489581596932823,0.04347826086956521
164,OS,0.8200000000000001,0.966804979253112,0.9231811299705156,0.7465271513620784
165,RDP,0.8200000000000001,0.4066390041493776,-0.1489581596932823,0.04347826086956521
166,OS,0.8300000000000001,0.966804979253112,0.9231811299705156,0.7553671297131517
167,RDP,0.8300000000000001,0.4066390041493776,-0.1489581596932823,0.04347826086956521
168,OS,0.84,0.966804979253112,0.9231811299705156,0.7679956702146852
169,RDP,0.84,0.4066390041493776,-0.1489581596932823,0.04347826086956521
170,OS,0.85,0.979253112033195,0.9521464596322624,0.7818870647663719
171,RDP,0.85,0.4066390041493776,-0.1489581596932823,0.04347826086956521
172,OS,0.86,0.970954356846473,0.9330050434851673,0.7959588670395092
