,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
151,RDP,0.75,0.841886269070735,0.0,0.04347826086956521
152,OS,0.76,1.0,,0.6699029126213591
153,RDP,0.76,0.841886269070735,0.0,0.04347826086956521
154,OS,0.77,1.0,,0.6840137490200808
155,RDP,0.77,0.841886269070735,0.0,0.04347826086956521
156,OS,0.78,1.0,,0.698003979979497
157,RDP,0.78,0.841886269070735,0.0,0.04347826086956521
158,OS,0.79,1.0,,0.7118736054996079
159,RDP,0.79,0.841886269070735,0.0,0.04347826086956521
160,OS,0.8,1.0,,0.7256226255804137
161,RDP,0.8,0.841886269070735,0.0,0.04347826086956521
162,OS,0.81,1.0,,0.7422058734848941
163,RDP,0.81,0.841886269070735,0.0,0.04347826086956521
164,OS,0.8200000000000001,1.0,,0.7572212506784057
165,RDP,0.8200000000000001,0.841886269070735,0.0,0.04347826086956521
166,OS,0.8300000000000001,1.0,,0.7709702707592112
167,RDP,0.8300000000000001,0.841886269070735,0.0,0.04347826086956521
168,OS,0.84,1.0,,0.7875535186636916
169,RDP,0.84,0.841886269070735,0.0,0.04347826086956521
170,OS,0.85,1.0,,0.8008804197069288
171,RDP,0.85,0.841886269070735,0.0,0.04347826086956521
172,OS,0.86,1.0,,0.8156545860218294
173,RDP,0.86,0.841886269070735,0.0,0.04347826086956521
174,OS,0.87,1.0,,0.8331423747210999
175,RDP,0.87,0.841886269070735,0.0,0.04347826086956521
176,OS,0.88,1.0,,0.8458662485678103
177,RDP,0.88,0.841886269070735,0.0,0.04347826086956521
178,OS,0.89,1.0,,0.857685581619731
179,RDP,0.89,0.841886269070735,0.0,0.04347826086956521
180,OS,0.9,1.0,,0.8723994452149791
181,RDP,0.9,0.841886269070735,0.0,0.04347826086956521
182,OS,0.91,1.0,,0.8913948019055659
183,RDP,0.91,0.841886269070735,0.0,0.04347826086956521
184,OS,0.92,1.0,,0.9033950431164445
185,RDP,0.92,0.841886269070735,0.0,0.04347826086956521
186,OS,0.93,1.0,,0.918410420309956
187,RDP,0.93,0.841886269070735,0.0,0.04347826086956521
188,OS,0.9400000000000001,1.0,,0.9264306820237593
189,RDP,0.9400000000000001,0.841886269070735,0.0,0.04347826086956521
190,OS,0.9500000000000001,1.0,,0.9390339504311643
191,RDP,0.9500000000000001,0.841886269070735,0.0,0.04347826086956521
192,OS,0.96,1.0,,0.9534463004281495
193,RDP,0.96,0.841886269070735,0.0,0.04347826086956521
194,OS,0.97,1.0,,0.9624314056563953
195,RDP,0.97,0.841886269070735,0.0,0.04347826086956521
196,OS,0.98,1.0,,0.9632756437315323
197,RDP,0.98,0.841886269070735,0.0,0.04347826086956521
198,OS,0.99,1.0,,0.9632756437315323
199,RDP,0.99,0.841886269070735,0.0,0.04347826086956521
