Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
BU,0.33,0.7468879668049793,0.3614646223341875,0.15244452462565397
VC,0.33,0.8464730290456431,0.6677843597481465,0.24246797762944253
OS,0.34,0.8589211618257261,0.6819346324043164,0.29767274039328884
RDP,0.34,0.8257261410788381,0.5800348518795121,0.11347645679235069
BU,0.34,0.7468879668049793,0.3425019008005725,0.14919718563954534
VC,0.34,0.8381742738589212,0.6476476101218369,0.23958145408623488
OS,0.35000000000000003,0.8630705394190872,0.6922809053975625,0.30128089482229836
RDP,0.35000000000000003,0.8340248962655602,0.5915946449754279,0.10968789464189066
BU,0.35000000000000003,0.7468879668049793,0.3171536067629709,0.14522821576763487
VC,0.35000000000000003,0.8340248962655602,0.6397339113536138,0.23723615370737866
OS,0.36,0.8672199170124482,0.7006443599099449,0.304167418365506
RDP,0.36,0.8381742738589212,0.5975594091201027,0.106801371098683
BU,0.36,0.7219917012448133,0.23222861490181157,0.14270250766732812
VC,0.36,0.8257261410788381,0.6240528896152132,0.2350712610499729
OS,0.37,0.8713692946058091,0.7109305474946799,0.30777557279451556
RDP,0.37,0.8257261410788381,0.5587619877942458,0.10499729388417824
BU,0.37,0.7095435684647303,0.18170353123787353,0.14017679956702142
VC,0.37,0.8257261410788381,0.6240528896152132,0.23290636839256718
OS,0.38,0.8796680497925311,0.7313059859290301,0.31264658127367856
RDP,0.38,0.8132780082987552,0.5220572032964611,0.10229117806242105
BU,0.38,0.7012448132780082,0.14454742654308816,0.13837272235251666
VC,0.38,0.8298755186721992,0.6318691553965947,0.2312826988995129
OS,0.39,0.8796680497925311,0.7295801895917973,0.3216669673462024
RDP,0.39,0.8091286307053942,0.5023343508708924,0.1003066931264658
BU,0.39,0.6970954356846473,0.12910251967724362,0.13729027602381377
VC,0.39,0.8215767634854771,0.6139115532208189,0.2294786216850081
OS,0.4,0.8921161825726142,0.7583307621104598,0.3276204221540682
RDP,0.4,0.7966804979253111,0.4638852317610206,0.09832220819051053
BU,0.4,0.6929460580912863,0.11353017198528692,0.13584701425220994
VC,0.4,0.8132780082987552,0.5959539510450431,0.22731372902760238
OS,0.41000000000000003,0.8921161825726142,0.7583307621104598,0.3337542846833845
RDP,0.41000000000000003,0.7717842323651453,0.38431882576989174,0.09489446148295144
BU,0.41000000000000003,0.6929460580912863,0.11353017198528692,0.13440375248060613
VC,0.41000000000000003,0.8132780082987552,0.5959539510450431,0.22587046725599857
OS,0.42,0.8921161825726142,0.7598681689277229,0.34331589392025974
RDP,0.42,0.7551867219917012,0.31852384375748866,0.0920079379397438
BU,0.42,0.6887966804979253,0.09782879960069879,0.1336821215948042
VC,0.42,0.8049792531120332,0.5805902173510571,0.22316435143424138
OS,0.43,0.8879668049792531,0.7482298316889147,0.35269709543568467
RDP,0.43,0.7178423236514523,0.20508343034536292,0.08858019123218472
BU,0.43,0.6804979253112033,0.06603251295988732,0.1322388598232004
VC,0.43,0.8091286307053942,0.5882484029119002,0.2211798664982861
OS,0.44,0.8838174273858921,0.7363650570401625,0.3600938120151542
RDP,0.44,0.7053941908713693,0.17334170732885634,0.08623489085332851
BU,0.44,0.6804979253112033,0.06603251295988732,0.13187804438029943
VC,0.44,0.8091286307053942,0.5907715023994093,0.21919538156233087
OS,0.45,0.8838174273858921,0.7346441211167911,0.3678513440375248
RDP,0.45,0.7012448132780082,0.17166316593469533,0.08497203680317515
BU,0.45,0.6804979253112033,0.06603251295988732,0.13187804438029943
VC,0.45,0.8049792531120332,0.5779963488692672,0.21739130434782605
OS,0.46,0.8796680497925311,0.7242671716573954,0.37560887605989535
RDP,0.46,0.6846473029045643,0.1256444529310673,0.08154429009561606
BU,0.46,0.6804979253112033,0.06603251295988732,0.13151722893739848
VC,0.46,0.8049792531120332,0.5753701968134958,0.21540681941187084
OS,0.47000000000000003,0.9004149377593361,0.7710576314122862,0.38643333934692403
RDP,0.47000000000000003,0.6473029045643154,0.05577321963586068,0.07685368933790364
BU,0.47000000000000003,0.6763485477178424,0.04993429697766094,0.13115641349449753
VC,0.47000000000000003,0.8008298755186722,0.5676806936243366,0.21342233447591558
OS,0.48,0.9045643153526971,0.7798737143084071,0.39274760959769073
RDP,0.48,0.6265560165975104,0.02630633866044174,0.07378675807324551
BU,0.48,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.48,0.7925311203319502,0.5496673891920174,0.21233988814721272
OS,0.49,0.9087136929460581,0.7887481074189179,0.4023092188345661
RDP,0.49,0.5933609958506224,-0.02955536181342633,0.0705394190871369
BU,0.49,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.49,0.7842323651452282,0.5345416728569305,0.21071621865415838
OS,0.5,0.9004149377593361,0.7695433899115467,0.4111491971856395
RDP,0.5,0.5560165975103735,-0.06623940458962174,0.06602922605087495
BU,0.5,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.5,0.7842323651452282,0.531654084759698,0.2089121414396536
OS,0.51,0.9045643153526971,0.776932673347016,0.4217932527512177
RDP,0.51,0.5518672199170125,-0.05804878048780471,0.06458596427927114
BU,0.51,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.51,0.7759336099585062,0.5106046931407943,0.20782969511095076
OS,0.52,0.9128630705394191,0.7963298321864059,0.4318960851524445
RDP,0.52,0.5145228215767634,-0.10520126994081447,0.06097780985026158
BU,0.52,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.52,0.7676348547717843,0.48929084992053284,0.2065668410607974
OS,0.53,0.9128630705394191,0.7963298321864059,0.4394732094533646
RDP,0.53,0.4854771784232365,-0.1380045696877381,0.057550063142702494
BU,0.53,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.53,0.7676348547717843,0.48929084992053284,0.2047627638462926
OS,0.54,0.91701244813278,0.8066741536980587,0.44795237236153707
RDP,0.54,0.47717842323651455,-0.12784133115436047,0.054843947320945316
BU,0.54,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.54,0.7676348547717843,0.48929084992053284,0.20223705574598594
OS,0.55,0.921161825726141,0.8169498301019389,0.4578747970413134
RDP,0.55,0.46473029045643155,-0.13030358116706053,0.05267905466353958
BU,0.55,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.55,0.7634854771784232,0.481798634426044,0.20061338625293162
OS,0.56,0.9253112033195021,0.8260067383282529,0.4670755908352877
RDP,0.56,0.44813278008298757,-0.14462736135414067,0.05123579289193576
BU,0.56,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.56,0.7634854771784232,0.481798634426044,0.19971134764567924
OS,0.5700000000000001,0.9253112033195021,0.8260067383282529,0.47357026880750497
RDP,0.5700000000000001,0.43568464730290457,-0.14665547159249925,0.04907090023453002
BU,0.5700000000000001,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.5700000000000001,0.7634854771784232,0.481798634426044,0.19862890131697636
OS,0.58,0.9294605809128631,0.8351241498651858,0.481869023994227
RDP,0.58,0.42738589211618255,-0.1435939756550444,0.047627638462926204
BU,0.58,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.58,0.7593360995850622,0.47435318892900125,0.19718563954537255
OS,0.59,0.921161825726141,0.8144877040878338,0.4914306332311023
RDP,0.59,0.42738589211618255,-0.1371033916849016,0.0467255998556738
BU,0.59,0.6721991701244814,0.03370045170786162,0.13043478260869562
VC,0.59,0.7593360995850622,0.47435318892900125,0.19592278549521921
OS,0.6,0.9336099585062241,0.8453393229584469,0.49918816525347287
RDP,0.6,0.42323651452282157,-0.1421022126760083,0.046184376691322374
BU,0.6,0.6721991701244814,0.03370045170786162,0.13043478260869562
