dataset,model,simp_algorithm,performance,"knee(x,y)",time
TwoPatternsTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
TwoPatternsTEST_normalized,logistic-regression_norm.pkl,OS,0.51892835546292,"(0.345748031496063, 1.0)",101.5683402
TwoPatternsTEST_normalized,logistic-regression_norm.pkl,RDP,0.549052013175582,"(0.3585039370078741, 0.9786689419795221)",1.136606
TwoPatternsTEST_normalized,logistic-regression_norm.pkl,VW,0.8277789642658,"(0.314251968503937, 1.0)",0.0256847999999999
TwoPatternsTEST_normalized,logistic-regression_norm.pkl,BU,0.879054440831348,"(0.10283464566929133, 0.8490077653149266)",0.4818144
TwoPatternsTEST_normalized,logistic-regression_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
TwoPatternsTEST_normalized,knn_norm.pkl,OS,0.513561527949502,"(0.345748031496063, 1.0)",100.8194796
TwoPatternsTEST_normalized,knn_norm.pkl,RDP,0.656998869892511,"(0.0716535433070866, 1.0)",1.1364466
TwoPatternsTEST_normalized,knn_norm.pkl,VW,0.858031496062992,"(1.0, 1.0)",0.0264698999999999
TwoPatternsTEST_normalized,knn_norm.pkl,BU,0.977639263130086,"(0.05244094488188976, 1.0)",0.4826947
TwoPatternsTEST_normalized,knn_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
UMDTEST_normalized,decision-tree_norm.pkl,OS,0.432348993288591,"(0.3736241610738255, 1.0)",166.2303933
UMDTEST_normalized,decision-tree_norm.pkl,RDP,0.455790466520183,"(0.016845637583892622, 0.10220994475138123)",0.855585
UMDTEST_normalized,decision-tree_norm.pkl,VW,0.450758355945317,"(1.0, 1.0)",0.0284183
UMDTEST_normalized,decision-tree_norm.pkl,BU,0.482329437253769,"(0.017248322147651006, 0.22680412371134018)",0.5868268
UMDTEST_normalized,decision-tree_norm.pkl,LSF,0.0,"(0.0, 0.0)",0.0
UMDTEST_normalized,logistic-regression_norm.pkl,OS,0.701863368599982,"(0.06422818791946311, 1.0)",162.8939914
UMDTEST_normalized,logistic-regression_norm.pkl,RDP,0.951427103304633,"(0.05295302013422819, 1.0)",0.8448511
UMDTEST_normalized,logistic-regression_norm.pkl,VW,0.945910480131737,"(0.06711409395973157, 0.9799839871897518)",0.0277208
