,dataset,model,simp_algorithm,performance,"knee(x,y)",time
120,MedicalImagesTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
121,MedicalImagesTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.5456122448979591, 1.0)",47.787042
122,MedicalImagesTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.03214285714285715, 1.0)",0.5586173
123,MedicalImagesTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.9999999999999999, 1.0)",0.0186566
124,MedicalImagesTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(1.0102040816326525, 1.0)",0.3649566
125,MedicalImagesTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
126,MedicalImagesTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.11316326530612242, 0.8463901689708141)",47.7388298
127,MedicalImagesTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.023877551020408165, 0.7532894736842105)",0.5532213
128,MedicalImagesTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.11999999999999997, 0.7126436781609196)",0.0186052
129,MedicalImagesTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.04428571428571428, 0.5512820512820513)",0.3646513
130,MedicalImagesTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
131,TwoPatternsTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.345748031496063, 0.8871331828442438)",100.0233198
132,TwoPatternsTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.0716535433070866, 0.5201535508637236)",1.1249373
133,TwoPatternsTEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(0.43188976377952754, 0.9435665914221218)",0.0256799
134,TwoPatternsTEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.10283464566929133, 0.6710526315789473)",0.4777112
135,TwoPatternsTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
136,TwoPatternsTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.345748031496063, 1.0)",101.5683402
137,TwoPatternsTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.3585039370078741, 0.9786689419795221)",1.136606
138,TwoPatternsTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.314251968503937, 1.0)",0.0256847999999999
139,TwoPatternsTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.10283464566929133, 0.8490077653149266)",0.4818144
140,TwoPatternsTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
141,TwoPatternsTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.345748031496063, 1.0)",100.8194796
142,TwoPatternsTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.0716535433070866, 1.0)",1.1364466
143,TwoPatternsTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0264698999999999
144,TwoPatternsTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.05244094488188976, 1.0)",0.4826947
145,TwoPatternsTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
146,UMDTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.3736241610738255, 1.0)",166.2303933
147,UMDTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.016845637583892622, 0.10220994475138123)",0.855585
148,UMDTEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0284183
149,UMDTEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.017248322147651006, 0.22680412371134018)",0.5868268
150,UMDTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
151,UMDTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.06422818791946311, 1.0)",162.8939914
152,UMDTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.05295302013422819, 1.0)",0.8448511
153,UMDTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.06711409395973157, 0.9799839871897518)",0.0277208
154,UMDTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.043221476510067115, 0.959951942330797)",0.5720465
155,UMDTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
156,UMDTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.06422818791946311, 0.9795417348608838)",159.7477482
157,UMDTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.05295302013422819, 0.9589659417316373)",0.8155905
158,UMDTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.06711409395973157, 0.9795417348608838)",0.0275919
159,UMDTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.043221476510067115, 0.8542880932556203)",0.5742726
160,UMDTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
161,ECG5000TEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.27438848920863307, 1.0)",130.4559918
162,ECG5000TEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.043237410071942435, 0.6670366259711431)",0.7875401
163,ECG5000TEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(0.09402877697841724, 0.7957099080694586)",0.0259878
164,ECG5000TEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.05129496402877696, 0.5212765957446809)",0.5410733
165,ECG5000TEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
166,ECG5000TEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.09510791366906476, 1.0)",130.3960519
167,ECG5000TEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.9999280575539568, 1.0)",0.7754096
168,ECG5000TEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.09402877697841724, 1.0)",0.025966
169,ECG5000TEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(1.007194244604317, 1.0)",0.540004
170,ECG5000TEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
171,ECG5000TEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.17223021582733822, 0.9192245557350566)",130.361181
172,ECG5000TEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.043237410071942435, 0.797077922077922)",0.7953568
173,ECG5000TEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.12798561151079135, 0.9196141479099679)",0.0262688
174,ECG5000TEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.05129496402877696, 0.4556765163297045)",0.5480662
175,ECG5000TEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
176,TwoLeadECGTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.2722222222222222, 0.9279538904899135)",27.6520462
177,TwoLeadECGTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.07308641975308644, 0.42660550458715596)",0.4260893
178,TwoLeadECGTEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(0.12654320987654322, 0.9177631578947368)",0.0161471
179,TwoLeadECGTEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.0614814814814815, 0.8230088495575221)",0.2916919
180,TwoLeadECGTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
181,TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.22308641975308643, 1.0)",27.6480923
182,TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.05098765432098766, 0.5931651749389748)",0.4263029
183,TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(0.12654320987654322, 0.9357326478149101)",0.0162215
184,TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.05135802469135803, 0.537037037037037)",0.2920553
185,TwoLeadECGTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
186,TwoLeadECGTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.18938271604938264, 1.0)",27.5851673
187,TwoLeadECGTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.07308641975308644, 0.6511627906976745)",0.4323692
188,TwoLeadECGTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.10308641975308641, 1.0)",0.0170419999999999
189,TwoLeadECGTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.0651851851851852, 0.8520710059171598)",0.2918854
190,TwoLeadECGTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
191,GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.07926174496644295, 0.9693251533742331)",158.9379515
192,GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.030067114093959738, 0.5340710541642399)",0.65094
193,GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,VW,0.7963753088403833,"(0.0893288590604027, 0.9693251533742331)",0.0273734
194,GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,BU,0.9147982807637293,"(0.038993288590604025, 0.8059866962305986)",0.5757172
195,GunPointAgeSpanTEST_normalized,decision-tree_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
196,GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,OS,0.8902797282032829,"(0.07926174496644295, 1.0)",158.8113169
197,GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,RDP,0.8876938493600592,"(0.030067114093959738, 0.17721518987341778)",0.691266
198,GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,VW,0.7963753088403833,"(1.0, 1.0)",0.0566253
199,GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,BU,0.9147982807637293,"(0.038993288590604025, 1.0)",0.607595
200,GunPointAgeSpanTEST_normalized,logistic-regression_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
201,GunPointAgeSpanTEST_normalized,knn_norm.pkl,OS,0.8902797282032829,"(0.07926174496644295, 0.9796582587469488)",158.9907229
202,GunPointAgeSpanTEST_normalized,knn_norm.pkl,RDP,0.8876938493600592,"(0.030067114093959738, 0.8407643312101911)",0.6467586
203,GunPointAgeSpanTEST_normalized,knn_norm.pkl,VW,0.7963753088403833,"(0.058859060402684564, 0.9594155844155844)",0.0297252
204,GunPointAgeSpanTEST_normalized,knn_norm.pkl,BU,0.9147982807637293,"(0.038993288590604025, 0.859663191659984)",0.5744021
205,GunPointAgeSpanTEST_normalized,knn_norm.pkl,LSF,0.5,"(0.0, 0.0)",0.0
206,MiddlePhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,OS,0.8902797282032829,"(0.2932911392405063, 0.7083333333333333)",25.8710441
207,MiddlePhalanxOutlineAgeGroupTEST_normalized,decision-tree_norm.pkl,RDP,0.8876938493600592,"(0.13708860759493674, 0.14728682170542629)",0.5182248
