,Type,Alpha,Mean Loyalty,Kappa Loyalty,Complexity
52,OS,0.26,0.9403606102635229,0.6653570079335096,0.22547186878128203
53,RDP,0.26,0.8890429958391124,0.20743102121578527,0.13152023156244344
54,OS,0.27,0.9403606102635229,0.6653570079335096,0.2321051679430742
55,RDP,0.27,0.8862690707350902,0.1754483835876266,0.12675631670988358
56,OS,0.28,0.9431345353675451,0.6845783672467696,0.23867816438521378
57,RDP,0.28,0.883495145631068,0.14249306224160385,0.11945968763191218
58,OS,0.29,0.941747572815534,0.6787260227465626,0.24531146354700595
59,RDP,0.29,0.8821081830790569,0.1256366723259762,0.1133691129469939
60,OS,0.3,0.941747572815534,0.6787260227465626,0.2514623409515769
61,RDP,0.3,0.8765603328710125,0.05554656108797096,0.10420309955979014
62,OS,0.31,0.9403606102635229,0.6691919461368558,0.25815594283302173
63,RDP,0.31,0.8765603328710125,0.05554656108797096,0.09509738889223904
64,OS,0.32,0.9334257975034674,0.6198343476063888,0.26394500391967674
65,RDP,0.32,0.8737864077669902,0.01881290283988102,0.08520774286920339
66,OS,0.33,0.9306518723994452,0.5992663405958203,0.26991497316528973
67,RDP,0.33,0.8737864077669902,0.01881290283988102,0.07628294036061026
68,OS,0.34,0.9320388349514563,0.6096113683326518,0.2769100886449979
69,RDP,0.34,0.8737864077669902,0.01881290283988102,0.06832298136645962
70,OS,0.35000000000000003,0.9334257975034674,0.6198343476063888,0.28396550684435873
71,RDP,0.35000000000000003,0.8723994452149791,0.0,0.06078514140987757
72,OS,0.36,0.9334257975034674,0.6198343476063888,0.2892721461737924
73,RDP,0.36,0.8723994452149791,0.0,0.05511668576252788
74,OS,0.37,0.9320388349514563,0.6096113683326518,0.2964481698124586
75,RDP,0.37,0.8723994452149791,0.0,0.051860338901284435
76,OS,0.38,0.9320388349514563,0.6096113683326518,0.30356389073147194
77,RDP,0.38,0.8723994452149791,0.0,0.04950853283483084
78,OS,0.39,0.9320388349514563,0.6096113683326518,0.3104987034915274
79,RDP,0.39,0.8723994452149791,0.0,0.04854368932038834
80,OS,0.4,0.9306518723994452,0.5992663405958203,0.3178556352891515
81,RDP,0.4,0.8723994452149791,0.0,0.04775975396490381
82,OS,0.41000000000000003,0.9320388349514563,0.6141900820128643,0.3252125670867756
83,RDP,0.41000000000000003,0.8723994452149791,0.0,0.04709642404872458
84,OS,0.42,0.9334257975034674,0.6242671646328224,0.3336549478381475
85,RDP,0.42,0.8723994452149791,0.0,0.04703612132907193
86,OS,0.43,0.9361997226074896,0.6481285011033779,0.34233853946813003
87,RDP,0.43,0.8723994452149791,0.0,0.04655369957185068
88,OS,0.44,0.9403606102635229,0.6766040451876036,0.35084122293915454
89,RDP,0.44,0.8723994452149791,0.0,0.046312488693240055
90,OS,0.45,0.9375866851595007,0.6577278912999904,0.3593439064101791
91,RDP,0.45,0.8723994452149791,0.0,0.0462521859735874
92,OS,0.46,0.9375866851595007,0.6577278912999904,0.3688717361152988
93,RDP,0.46,0.8723994452149791,0.0,0.04619188325393475
94,OS,0.47000000000000003,0.9403606102635229,0.6729399850199909,0.3775553277452813
95,RDP,0.47000000000000003,0.8723994452149791,0.0,0.04576976421636615
96,OS,0.48,0.941747572815534,0.6823455365572223,0.386540432973527
97,RDP,0.48,0.8723994452149791,0.0,0.045528553337755524
98,OS,0.49,0.9431345353675451,0.6916457175044592,0.3946209974069831
99,RDP,0.49,0.8723994452149791,0.0,0.0452873424591449
100,OS,0.5,0.9445214979195562,0.7008422887017136,0.40535488150515586
101,RDP,0.5,0.8723994452149791,0.0,0.04516673701983958
102,OS,0.51,0.9486823855755895,0.7307773819495604,0.41403847313513836
103,RDP,0.51,0.8723994452149791,0.0,0.04504613158053426
104,OS,0.52,0.9528432732316228,0.7565640516385304,0.42157631309172033
105,RDP,0.52,0.8723994452149791,0.0,0.044865223421576304
106,OS,0.53,0.9625520110957004,0.8136398012617391,0.43116444551649274
107,RDP,0.53,0.8723994452149791,0.0,0.04480492070192365
108,OS,0.54,0.9625520110957004,0.8136398012617391,0.4403304589036966
109,RDP,0.54,0.8723994452149791,0.0,0.04480492070192365
